Len = 108	V0----------------------------------------------------------------------------------------------------
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 2), ('V_bc', -1), ('V_ca', -1), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, 2], [4, 0, -2], [0, 5, 1], [5, 0, -1]]), ('Tree Num', '0'), ('TopologyCNT', '36'), ('Vin', 'VIII_0'), ('Vout', 'VII_1')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, 1], [4, 0, -1], [0, 5, 2], [5, 0, -2]]), ('Tree Num', '0'), ('TopologyCNT', '32'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -2], [3, 0, 2], [0, 4, -1], [4, 0, 1]]), ('Tree Num', '8'), ('TopologyCNT', '647'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, 1], [4, 0, -1], [1, 5, 2], [5, 1, -2]]), ('Tree Num', '9'), ('TopologyCNT', '760'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, 1], [4, 0, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '12'), ('TopologyCNT', '1008'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 5, 2], [5, 0, -2], [1, 4, 1], [4, 1, -1]]), ('Tree Num', '21'), ('TopologyCNT', '1724'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 5, 2], [5, 0, -2], [2, 4, 1], [4, 2, -1]]), ('Tree Num', '24'), ('TopologyCNT', '1972'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -2], [3, 0, 2], [1, 4, -1], [4, 1, 1]]), ('Tree Num', '28'), ('TopologyCNT', '2255'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -2], [3, 0, 2], [2, 4, -1], [4, 2, 1]]), ('Tree Num', '32'), ('TopologyCNT', '2583'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [1, 4, 1], [4, 1, -1], [1, 5, 2], [5, 1, -2]]), ('Tree Num', '33'), ('TopologyCNT', '2696'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [1, 4, 1], [4, 1, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '36'), ('TopologyCNT', '2944'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [1, 5, 2], [5, 1, -2], [2, 4, 1], [4, 2, -1]]), ('Tree Num', '38'), ('TopologyCNT', '3108'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [2, 4, 1], [4, 2, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '40'), ('TopologyCNT', '3272'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 4, -1], [4, 0, 1], [1, 3, -2], [3, 1, 2]]), ('Tree Num', '50'), ('TopologyCNT', '4011'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 4, -1], [4, 0, 1], [2, 3, -2], [3, 2, 2]]), ('Tree Num', '56'), ('TopologyCNT', '4499'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 3, -2], [3, 1, 2], [1, 4, -1], [4, 1, 1]]), ('Tree Num', '71'), ('TopologyCNT', '5719'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 3, -2], [3, 1, 2], [2, 4, -1], [4, 2, 1]]), ('Tree Num', '75'), ('TopologyCNT', '6047'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 4, -1], [4, 1, 1], [2, 3, -2], [3, 2, 2]]), ('Tree Num', '78'), ('TopologyCNT', '6283'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', 1), ('V_bc', 1), ('V_ca', -2), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [2, 3, -2], [3, 2, 2], [2, 4, -1], [4, 2, 1]]), ('Tree Num', '80'), ('TopologyCNT', '6463'), ('Vin', 'VIII_0'), ('Vout', 'VII_2')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 3, 1], [3, 0, -1], [0, 5, 2], [5, 0, -2]]), ('Tree Num', '4'), ('TopologyCNT', '328'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -1], [3, 0, 1], [0, 4, -2], [4, 0, 2]]), ('Tree Num', '8'), ('TopologyCNT', '643'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 3, 1], [3, 0, -1], [1, 5, 2], [5, 1, -2]]), ('Tree Num', '15'), ('TopologyCNT', '1216'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 3, 1], [3, 0, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '18'), ('TopologyCNT', '1464'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -1], [3, 0, 1], [1, 4, -2], [4, 1, 2]]), ('Tree Num', '28'), ('TopologyCNT', '2251'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 3, -1], [3, 0, 1], [2, 4, -2], [4, 2, 2]]), ('Tree Num', '32'), ('TopologyCNT', '2579'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 5, 2], [5, 0, -2], [1, 3, 1], [3, 1, -1]]), ('Tree Num', '46'), ('TopologyCNT', '3716'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 4, -2], [4, 0, 2], [1, 3, -1], [3, 1, 1]]), ('Tree Num', '50'), ('TopologyCNT', '4015'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 5, 2], [5, 0, -2], [2, 3, 1], [3, 2, -1]]), ('Tree Num', '53'), ('TopologyCNT', '4284'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [0, 4, -2], [4, 0, 2], [2, 3, -1], [3, 2, 1]]), ('Tree Num', '56'), ('TopologyCNT', '4503'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [1, 3, 1], [3, 1, -1], [1, 5, 2], [5, 1, -2]]), ('Tree Num', '58'), ('TopologyCNT', '4680'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [1, 3, 1], [3, 1, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '61'), ('TopologyCNT', '4928'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [1, 5, 2], [5, 1, -2], [2, 3, 1], [3, 2, -1]]), ('Tree Num', '65'), ('TopologyCNT', '5260'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [2, 3, 1], [3, 2, -1], [2, 5, 2], [5, 2, -2]]), ('Tree Num', '67'), ('TopologyCNT', '5424'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 3, -1], [3, 1, 1], [1, 4, -2], [4, 1, 2]]), ('Tree Num', '71'), ('TopologyCNT', '5715'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 3, -1], [3, 1, 1], [2, 4, -2], [4, 2, 2]]), ('Tree Num', '75'), ('TopologyCNT', '6043'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [1, 4, -2], [4, 1, 2], [2, 3, -1], [3, 2, 1]]), ('Tree Num', '78'), ('TopologyCNT', '6287'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -1), ('V_bc', 2), ('V_ca', -1), ('DirectedTable', [[0, 5, 0], [5, 0, 0], [1, 5, 0], [5, 1, 0], [2, 5, 0], [5, 2, 0], [2, 3, -1], [3, 2, 1], [2, 4, -2], [4, 2, 2]]), ('Tree Num', '80'), ('TopologyCNT', '6459'), ('Vin', 'VIII_0'), ('Vout', 'VII_3')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -2), ('V_bc', 1), ('V_ca', 1), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, -2], [4, 0, 2], [0, 5, -1], [5, 0, 1]]), ('Tree Num', '0'), ('TopologyCNT', '39'), ('Vin', 'VIII_0'), ('Vout', 'VII_4')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -2), ('V_bc', 1), ('V_ca', 1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 3, 2], [3, 0, -2], [0, 5, 1], [5, 0, -1]]), ('Tree Num', '4'), ('TopologyCNT', '332'), ('Vin', 'VIII_0'), ('Vout', 'VII_4')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -2), ('V_bc', 1), ('V_ca', 1), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, -2], [4, 0, 2], [1, 5, -1], [5, 1, 1]]), ('Tree Num', '9'), ('TopologyCNT', '767'), ('Vin', 'VIII_0'), ('Vout', 'VII_4')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -2), ('V_bc', 1), ('V_ca', 1), ('DirectedTable', [[0, 3, 0], [3, 0, 0], [1, 3, 0], [3, 1, 0], [2, 3, 0], [3, 2, 0], [0, 4, -2], [4, 0, 2], [2, 5, -1], [5, 2, 1]]), ('Tree Num', '12'), ('TopologyCNT', '1015'), ('Vin', 'VIII_0'), ('Vout', 'VII_4')])
V0:   OrderedDict([('V_AB', 0), ('V_BC', 0), ('V_CA', 0), ('V_ab', -2), ('V_bc', 1), ('V_ca', 1), ('DirectedTable', [[0, 4, 0], [4, 0, 0], [1, 4, 0], [4, 1, 0], [2, 4, 0], [4, 2, 0], [0, 3, 2], [3, 0, -2], [1, 5, 1], [5, 1, -1]]), ('Tree Num', '15'), ('TopologyCNT', '1220'), ('Vin', 'VIII_0'), ('Vout', 'VII_4')])
